Referencia	Cant. disponible	Notas ítem	Costo prom. tot. (ins)	Bodega	LINEA DE NEGOCIO	CLASIFICACION	MARCA	
IPC-A22EN-A-IMOU	0.00	CAMARA IP PT 1080P@15FPS 3,6MM WIFI H.265 DETECCION DE SONIDO ANORMAL PAN 0°~355° TILT -5°~90° IR10M	$0	00101	02 - CCTV	0205 - CONSUMER                                	0010 - DAHUA                                   	
IPC-A22EN-A-IMOU	0.00	CAMARA IP PT 1080P@15FPS 3,6MM WIFI H.265 DETECCION DE SONIDO ANORMAL PAN 0°~355° TILT -5°~90° IR10M	$0	00103	02 - CCTV	0205 - CONSUMER                                	0010 - DAHUA                                   	
DH-XVR1B04-I	4.00	XVR 4CH + 1CH IP GRABACION HASTA 1080N HDMI 1 E/S RCA 1 SATA H.265+ AI CODING SMDPLUS	$414,208	00101	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0010 - DAHUA                                   	
DH-XVR1B04-I	0.00	XVR 4CH + 1CH IP GRABACION HASTA 1080N HDMI 1 E/S RCA 1 SATA H.265+ AI CODING SMDPLUS	$0	00201	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0010 - DAHUA                                   	
DH-XVR1B04-I	0.00	XVR 4CH + 1CH IP GRABACION HASTA 1080N HDMI 1 E/S RCA 1 SATA H.265+ AI CODING SMDPLUS	$0	00103	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0010 - DAHUA                                   	
DH-HAC-T1A21N-0360B	0.00	DOMO PLÁSTICO HDCVI/CVBS, 1080P, 1/2.7" CMOS, 3.6MM, IR LEDS 20M,	$0	00101	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
DH-HAC-T1A21N-0360B	0.00	DOMO PLÁSTICO HDCVI/CVBS, 1080P, 1/2.7" CMOS, 3.6MM, IR LEDS 20M,	$0	00201	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
DH-HAC-T1A21N-0360B	0.00	DOMO PLÁSTICO HDCVI/CVBS, 1080P, 1/2.7" CMOS, 3.6MM, IR LEDS 20M,	$0	00103	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
TRANS12V15	42.00	TRANSFORMADOR 12V A 1.5 AMP	$155,430	00101	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
TRANS12V15	0.00	TRANSFORMADOR 12V A 1.5 AMP	$0	00201	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
TRANS12V15	0.00	TRANSFORMADOR 12V A 1.5 AMP	$0	00103	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
CONECTOR-DC-MACHO	198.00	CONECTOR/BORNERA DC MACHO	$49,957	00101	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
CONECTOR-DC-MACHO	0.00	CONECTOR/BORNERA DC MACHO	$0	00201	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
CONECTOR-DC-MACHO	0.00	CONECTOR/BORNERA DC MACHO	$0	00103	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
CONECTOR-DC-MACHO	20.00	CONECTOR/BORNERA DC MACHO	$5,046	00105	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
CONECTOR-DC-HEMBRA	202.00	CONECTOR/BORNERA TIPO HEMBRA	$51,140	00101	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
CONECTOR-DC-HEMBRA	0.00	CONECTOR/BORNERA TIPO HEMBRA	$0	00201	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
CONECTOR-DC-HEMBRA	0.00	CONECTOR/BORNERA TIPO HEMBRA	$0	00103	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
CONECTOR-DC-HEMBRA	20.00	CONECTOR/BORNERA TIPO HEMBRA	$5,063	00105	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
BALUN-5MP	9.00	BALUN AHD 5 MP	$41,597	00101	02 - CCTV	0201 - ACCESORIOS CCTV                         	0001 - GENERICO                                	
BALUN-5MP	0.00	BALUN AHD 5 MP	$0	00201	02 - CCTV	0201 - ACCESORIOS CCTV                         	0001 - GENERICO                                	
BALUN-5MP	0.00	BALUN AHD 5 MP	$0	00103	02 - CCTV	0201 - ACCESORIOS CCTV                         	0001 - GENERICO                                	
CAJA01	180.00	CAJA DE PASO 10 X 10	$250,774	00101	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
CAJA01	0.00	CAJA DE PASO 10 X 10	$0	00103	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
DH-HAC-B1A21N-0360B	0.00	BALA PLÁSTICA HDCVI/CVBS, 1080P, 1/2.7" CMOS, 3.6MM, IR LEDS 20M,  IP67, DC12V/1AM	$0	00101	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
DH-HAC-B1A21N-0360B	0.00	BALA PLÁSTICA HDCVI/CVBS, 1080P, 1/2.7" CMOS, 3.6MM, IR LEDS 20M,  IP67, DC12V/1AM	$0	00201	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
DH-HAC-B1A21N-0360B	0.00	BALA PLÁSTICA HDCVI/CVBS, 1080P, 1/2.7" CMOS, 3.6MM, IR LEDS 20M,  IP67, DC12V/1AM	$0	00103	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
TRANS12V2	95.00	TRANSFORMADOR 12V 2AMP	$467,068	00101	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
TRANS12V2	0.00	TRANSFORMADOR 12V 2AMP	$0	00201	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
TRANS12V2	0.00	TRANSFORMADOR 12V 2AMP	$0	00103	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
DH-HAC-T1A21N-0280B	71.00	DOMO PLÁSTICO HDCVI/CVBS, 1080P, 1/2.7" CMOS, 2.8MM, IR LEDS 20M,	$2,516,378	00101	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
DH-HAC-T1A21N-0280B	0.00	DOMO PLÁSTICO HDCVI/CVBS, 1080P, 1/2.7" CMOS, 2.8MM, IR LEDS 20M,	$0	00201	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
DH-HAC-T1A21N-0280B	0.00	DOMO PLÁSTICO HDCVI/CVBS, 1080P, 1/2.7" CMOS, 2.8MM, IR LEDS 20M,	$0	00103	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
TRANS12V1000	57.00	TRANSFORMADOR 12V 1AMP	$168,420	00101	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
TRANS12V1000	0.00	TRANSFORMADOR 12V 1AMP	$0	00201	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
TRANS12V1000	0.00	TRANSFORMADOR 12V 1AMP	$0	00103	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
BALUN-AHD	228.00	VIDEO BALUN AHD	$526,947	00101	02 - CCTV	0201 - ACCESORIOS CCTV                         	0001 - GENERICO                                	
BALUN-AHD	0.00	VIDEO BALUN AHD	$0	00201	02 - CCTV	0201 - ACCESORIOS CCTV                         	0001 - GENERICO                                	
BALUN-AHD	0.00	VIDEO BALUN AHD	$0	00103	02 - CCTV	0201 - ACCESORIOS CCTV                         	0001 - GENERICO                                	
BALUN-AHD	10.00	VIDEO BALUN AHD	$23,112	00105	02 - CCTV	0201 - ACCESORIOS CCTV                         	0001 - GENERICO                                	
DHI-XVR5116HS-S2	0.00	XVR 16CH 5EN1, 15FPS POR 16CH@1080P, AUDIO1IN/1OUT , DET. ROSTRO, VIDEO ANALITICA, RS485,1 HDD 6TB	$0	00101	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0010 - DAHUA                                   	
DHI-XVR5116HS-S2	0.00	XVR 16CH 5EN1, 15FPS POR 16CH@1080P, AUDIO1IN/1OUT , DET. ROSTRO, VIDEO ANALITICA, RS485,1 HDD 6TB	$0	00103	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0010 - DAHUA                                   	
DH-XVR1B16-I	5.00	XVR 16CH + 2CH IP GRABACION HASTA 1080N 4CH CON_x000D_ SMD 1 HDMI 1 E/S RCA 1 SATA RS485 AI CODING/H.265	$1,048,617	00101	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0010 - DAHUA                                   	
DH-XVR1B16-I	0.00	XVR 16CH + 2CH IP GRABACION HASTA 1080N 4CH CON_x000D_ SMD 1 HDMI 1 E/S RCA 1 SATA RS485 AI CODING/H.265	$0	00103	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0010 - DAHUA                                   	
DH-XVR1B08-I	6.00	XVR 8CH + 4CH IP GRABACION HASTA 1080N HDMI 1 E/S RCA 1 SATA H.265+ AI CODING SMDPLUS	$760,295	00101	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0010 - DAHUA                                   	
DH-XVR1B08-I	0.00	XVR 8CH + 4CH IP GRABACION HASTA 1080N HDMI 1 E/S RCA 1 SATA H.265+ AI CODING SMDPLUS	$0	00201	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0010 - DAHUA                                   	
DH-XVR1B08-I	0.00	XVR 8CH + 4CH IP GRABACION HASTA 1080N HDMI 1 E/S RCA 1 SATA H.265+ AI CODING SMDPLUS	$0	00103	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0010 - DAHUA                                   	
DH-XVR5108HS-I3	0.00	XVR 8CH + 4CH IP GRABACION 2CH HASTA 5M-N 6CH_x000D_ HASTA 4M-N HDMI 1 E/S RCA 1 SATA RS485 H265+ SMD_x000D_PLUS	$0	00101	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0010 - DAHUA                                   	
DH-XVR5108HS-I3	0.00	XVR 8CH + 4CH IP GRABACION 2CH HASTA 5M-N 6CH_x000D_ HASTA 4M-N HDMI 1 E/S RCA 1 SATA RS485 H265+ SMD_x000D_PLUS	$0	00103	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0010 - DAHUA                                   	
DH-XVR5108HS-I3	1.00	XVR 8CH + 4CH IP GRABACION 2CH HASTA 5M-N 6CH_x000D_ HASTA 4M-N HDMI 1 E/S RCA 1 SATA RS485 H265+ SMD_x000D_PLUS	$243,415	00105	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0010 - DAHUA                                   	
C2X18FPLR	0.00	CABLE DE INCENDIO AWG 2X18 CERTIFICACION UL USO INTERIOR (INDOOR) MARCA GENESIS CARRETE DE 305METROS	$0	00101	05 - TRANSMISION	0501 - CABLEADO                                	0001 - GENERICO                                	
DS-1LN5E-E/E	8.00	CABLE UTP CAT 5E GRIS USO CCTVCM 25AWG 0.45MM UL HIKVISION X 305 MTS 100% COBRE	$1,996,679	00101	05 - TRANSMISION	0501 - CABLEADO                                	0002 - HIKVISION                               	
CPUTPCAT6	0.00	UTP CAT6-ALEACION-305 MTS,CCTVPOWER, 4 PARES X 23AWG,	$0	00101	05 - TRANSMISION	0501 - CABLEADO                                	0001 - GENERICO                                	
CPUTPCAT6	0.00	UTP CAT6-ALEACION-305 MTS,CCTVPOWER, 4 PARES X 23AWG,	$0	00103	05 - TRANSMISION	0501 - CABLEADO                                	0001 - GENERICO                                	
6010-300	0.00	BEAN DETECTOR FIRERAY ONE + 1 PRISMA COBERTURA DE 50 METROS., AUNTO ALINEACION, COMPENSACION DE LUZ. 	$0	00101	03 - DETECCION DE INCENDIOS	0304 - DETECTORES                              	0024 - FFE LTD                                 	
DVR-116G-K1	0.00	MINI DVR 16CH TURBO HD1080P LITE @ 1BAHIA/10TBH.265+ 2CH IP  HDMI/VGA HILOOK	$0	00101	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0002 - HIKVISION                               	
DH-HAC-HFW1200RN-Z-IRE6-S5	0.00	BALA METALICA HDCVI 4EN1,2MP 1080P@30FPS,1/2.7" CMOS2.7-12MM, 4 IR LEDS 60M, SMART IR, 0.02LUX ,IP67	$0	00101	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
DH-HAC-HFW1200RN-Z-IRE6-S5	0.00	BALA METALICA HDCVI 4EN1,2MP 1080P@30FPS,1/2.7" CMOS2.7-12MM, 4 IR LEDS 60M, SMART IR, 0.02LUX ,IP67	$0	00103	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
DHI-ASI6214J-MFW	0.00	TERMINAL CONTROL DE ACCESO CON RECONOCIMIENTO FACIAL Y LECTOR DE HUELLA CAMARA DUAL 2MP	$0	00101	04 - CONTROL DE ACCESO	0401 - ACCESORIOS DE ACCESO                    	0010 - DAHUA                                   	
CITYMESH-II-3G	1.00	MÓDULO DE COMUNICACIÓN RF Y 3G CON TOPOLOGÍA MESH, WIFI, COMPATIBLE CON CONTACT ID, ALIMENTACION 12V	$344,709	00101	01 - DETECCION ROBO	0102 - COMUNICADORES                           	0013 - CITYMESH                                	
CITYMESH-II-3G	1.00	MÓDULO DE COMUNICACIÓN RF Y 3G CON TOPOLOGÍA MESH, WIFI, COMPATIBLE CON CONTACT ID, ALIMENTACION 12V	$344,709	00102	01 - DETECCION ROBO	0102 - COMUNICADORES                           	0013 - CITYMESH                                	
CITYMESH-II-3G	0.00	MÓDULO DE COMUNICACIÓN RF Y 3G CON TOPOLOGÍA MESH, WIFI, COMPATIBLE CON CONTACT ID, ALIMENTACION 12V	$0	00201	01 - DETECCION ROBO	0102 - COMUNICADORES                           	0013 - CITYMESH                                	
CITYMESH-II-3G	0.00	MÓDULO DE COMUNICACIÓN RF Y 3G CON TOPOLOGÍA MESH, WIFI, COMPATIBLE CON CONTACT ID, ALIMENTACION 12V	$0	00103	01 - DETECCION ROBO	0102 - COMUNICADORES                           	0013 - CITYMESH                                	
PROID20BE-RS485	0.00	LECTOR DE TARJETAS RFID 125KHZ PARA EQUIPOS ZKTECO, CONEXIÓN RS485.	$0	00101	04 - CONTROL DE ACCESO	0404 - LECTORAS                                	0009 - ZK TECO                                 	
PROID30BE	0.00	LECTOR DE TARJETAS EM 125KHZ IP65 COLOR NEGRO SALIDA WIEGAND DE 26 O 34 BITS CON TECLADO LED	$0	00101	04 - CONTROL DE ACCESO	0404 - LECTORAS                                	0009 - ZK TECO                                 	
TLEB102	0.00	BOTON LIBERADOR SIN CONTACTO PARA ELECTROCERRADURAS DIMENSIONES 115*70*39MM_x000D_SALIDAS NO/NC	$0	00101	04 - CONTROL DE ACCESO	0405 - MECANISMOS DE ACCIONAMIENTO             	0009 - ZK TECO                                 	
TLEB102	0.00	BOTON LIBERADOR SIN CONTACTO PARA ELECTROCERRADURAS DIMENSIONES 115*70*39MM_x000D_SALIDAS NO/NC	$0	00103	04 - CONTROL DE ACCESO	0405 - MECANISMOS DE ACCIONAMIENTO             	0009 - ZK TECO                                 	
DS-7232HGHI-K2	0.00	DVR 32 CH TURBO 1080P 2BAHIA/10TB SATA H265+ 25FPS HDMI/VGA METAL HIKVISION	$0	00101	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0002 - HIKVISION                               	
DS-7216HGHI-K1	0.00	DVR 16CH TURBO 1080P LITE  1BAHIA/10TB SATA H265+ 25FPS HDMI/VGA METAL	$0	00101	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0002 - HIKVISION                               	
THC-T120-PC	22.00	CAMARA TURBO 1080P INT TURRET 0.02LUXF2.8  EXIR IR20M PLASTICA HILOOK	$743,741	00101	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0002 - HIKVISION                               	
THC-T120-PC	0.00	CAMARA TURBO 1080P INT TURRET 0.02LUXF2.8  EXIR IR20M PLASTICA HILOOK	$0	00201	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0002 - HIKVISION                               	
THC-T120-PC	0.00	CAMARA TURBO 1080P INT TURRET 0.02LUXF2.8  EXIR IR20M PLASTICA HILOOK	$0	00103	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0002 - HIKVISION                               	
THC-B120-MC	7.00	CAMARA TURBO 1080P EXT BALA 0.02LUX F2.8 EXIR IR20M IP66 METALICA HILOOK	$362,432	00101	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0002 - HIKVISION                               	
WD42PURZ	5.00	DISCO DURO 4TB CACHE 256MB 3.5" SATA	$1,637,122	00101	02 - CCTV	0210 - STORAGE                                 	0001 - GENERICO                                	
THC-T120-MC	6.00	CAMARA TURBO 1080P TURRET F2.8 0.02LUX EXIR IR20M IP66 METAL HILOOK	$276,887	00101	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0002 - HIKVISION                               	
DH-XVR1B08H-I	2.00	XVR 8CH + 4CH IP GRABACION HASTA 5M-N HDMI 1 E/S_x000D_ RCA 1 SATA H.265+ AI CODING SMDPLUS	$435,280	00101	02 - CCTV	0207 - GRABADORES ANALOGOS                     	0010 - DAHUA                                   	
DH-HAC-B2A51N-0280B-S2	5.00	CAMARA 4 EN 1 1/2,7" CMOS 5MP@20FPS TIPO BALA_x000D_ METALICA 2,8MM FOV 93° DWDR IR 20M IP67	$351,009	00101	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
DH-HAC-B2A51N-0280B-S2	0.00	CAMARA 4 EN 1 1/2,7" CMOS 5MP@20FPS TIPO BALA_x000D_ METALICA 2,8MM FOV 93° DWDR IR 20M IP67	$0	00103	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
FR1500WPMF	0.00	LECTORA HUELLAS SENSOR SILKID Y TARJETAS MIFARE INTERF RS485 CARCASA EN ACERO INOX IP65	$0	00101	04 - CONTROL DE ACCESO	0404 - LECTORAS                                	0009 - ZK TECO                                 	
DHI-NVR4208-8P-4KS2-L	1.00	NVR 8CH H.265 DECODIFICACION 2CH@4K U 8CH@2MP_x000D_ AB ENTRADA 128MBPS 2 SATA 1 HDMI 8 POE MAX. 130W	$590,878	00101	02 - CCTV	0208 - GRABADORES IP                           	0010 - DAHUA                                   	
DH-IPC-HDW1431T1N-0280B-S4	0.00	CAMARA IP DOMO SEMIMETALICO 1/3 CMOS 4MP@20FPS LENTE 2,8MM FOV 101° WDR 120DB IR 30M H.265+ POE_x000D_ IP67	$0	00101	02 - CCTV	0203 - CAMARAS IP                              	0010 - DAHUA                                   	
DH-IPC-HDW2431RN-ZS	0.00	DOMO IP 4MP,1/3”CMOS,VARIFOCA MOTORIZADOL2.7~13,5MM,H.265+H.264+,ONVIF,2 IR50M,SLOTSD,IP67,POE.	$0	00101	02 - CCTV	0203 - CAMARAS IP                              	0010 - DAHUA                                   	
DHI-NVR4216-16P-4KS2-L	2.00	NVR 16CH POE 4K, SOPORTA CÁMARAS IP HASTA 8MP, H.265/H.264, GRABACIÓN 128MBPS	$1,605,068	00101	02 - CCTV	0208 - GRABADORES IP                           	0010 - DAHUA                                   	
WD10PURZ	1.00	DISCO DURO 1TB 3.5" SATA WESTER DIGITAL	$178,100	00101	02 - CCTV	0210 - STORAGE                                 	0001 - GENERICO                                	
WD10PURZ	0.00	DISCO DURO 1TB 3.5" SATA WESTER DIGITAL	$0	00201	02 - CCTV	0210 - STORAGE                                 	0001 - GENERICO                                	
WD10PURZ	0.00	DISCO DURO 1TB 3.5" SATA WESTER DIGITAL	$0	00103	02 - CCTV	0210 - STORAGE                                 	0001 - GENERICO                                	
DH-PFM800B-4K	0.00	BALUN PASIVO 1 CH, 4K HCVI, ANTI -INTERFERENCIAS.	$0	00101	02 - CCTV	0201 - ACCESORIOS CCTV                         	0010 - DAHUA                                   	
DH-HAC-T2A51N-0280B	0.00	CAMARA 4 EN 1 1/2,7" CMOS 5MP@20FPS TIPO DOMO_x000D_ METALICO 2,8MM FOV 93° DWDR IR 20M IP67	$0	00101	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
PFA130-E	1.00	BASE PARA CAMARAS FIJAS IP66, MATERIAL ALUMINIO, PUEDE REEMPLAZAR CAJA INTEMPERIE.	$24,786	00101	02 - CCTV	0201 - ACCESORIOS CCTV                         	0010 - DAHUA                                   	
DH-HAC-HDW1239TN-A-LED-0360B	0.00	CAMARA 4 EN 1 1/2.8" CMOS 1080P DOMO STARLIGHT FULLCOLOR 1 LED DIST 20M IP67 MIC DC12V	$0	00101	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
DH-HAC-HDW1239TN-A-LED-0360B	1.00	CAMARA 4 EN 1 1/2.8" CMOS 1080P DOMO STARLIGHT FULLCOLOR 1 LED DIST 20M IP67 MIC DC12V	$99,789	00105	02 - CCTV	0202 - CAMARAS ANALOGAS                        	0010 - DAHUA                                   	
DH-PFM320D-015	0.00	FUENTE DE ALIMENTACION 12V/1,5A 2 BORNERAS_x000D_COMPATIBLE CON SOPORTE DH-PFB302S	$0	00101	02 - CCTV	0201 - ACCESORIOS CCTV                         	0010 - DAHUA                                   	
TRANS12V5	14.00	TRANSFORMADOR 12V 5AMP	$177,647	00101	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
TRANS12V5	0.00	TRANSFORMADOR 12V 5AMP	$0	00103	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
TRANS12V5	0.00	TRANSFORMADOR 12V 5AMP	$0	00105	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
LM1802	3.00	ELECTROIMAN FUERZA DE RETENCION 180KG_x000D_DIMENSIONES: CERRADURA 170*38.5*21MM PLACA_x000D_ 130*33*11MM	$135,546	00101	04 - CONTROL DE ACCESO	0404 - LECTORAS                                	0009 - ZK TECO                                 	
IDTHINCARD	410.00	TARJETA DE PROXIMIDAD RFID ID 125KHZ, DELGADA PARA CONTROL DE ACCESO CON CODIGO IMPRESO  125KHZ	$207,325	00101	04 - CONTROL DE ACCESO	0401 - ACCESORIOS DE ACCESO                    	0009 - ZK TECO                                 	
TAG03G	223.00	TARJETA DE PROXIMIDAD PARA CONTRO DE ACCESO TIPO LLAVERO COLOR GRIS	$109,283	00101	04 - CONTROL DE ACCESO	0401 - ACCESORIOS DE ACCESO                    	0009 - ZK TECO                                 	
UHFPARKINGTAG	26.00	TAG UHF PARA INSTALAR EN PARABRISA ALCANCE 6M_x000D_DIMENSIONES 100X26MM	$64,238	00101	04 - CONTROL DE ACCESO	0401 - ACCESORIOS DE ACCESO                    	0009 - ZK TECO                                 	
PS712	22.00	BATERIA 12 V 7 AMP	$699,600	00101	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
PS712	0.00	BATERIA 12 V 7 AMP	$0	00103	06 - ACCESORIOS	0601 - ACCESORIOS                              	0001 - GENERICO                                	
TAG03A	26.00	TARJETA DE PROXIMIDAD PARA CONTRO DE ACCESO TIPO LLAVERO COLOR AZUL	$15,601	00101	04 - CONTROL DE ACCESO	0401 - ACCESORIOS DE ACCESO                    	0009 - ZK TECO                                 	
CITYMESHII3G	0.00	Módulo de comunicación RF y 3G con topología Mesh, WIFI, compatible con CONTACT ID, alimentacion 12V	$0	00101	01 - DETECCION ROBO	0101 - ALARMA COMUNITARIA                      	0013 - CITYMESH                                	
